massachusetts AWAYWINOVER kent-st 7 
arkansas-st AWAYWINOVER georgia-st 7 
western-mich AWAYWINOVER ball-st 7 
troy HOMEWINOVER new-mexico-st 7 
iowa-st HOMEWINOVER toledo 7 
clemson HOMEWINOVER louisville 7 
navy HOMEWINOVER vmi 7 
boston-college AWAYWINOVER north-carolina-st 7 
uab HOMEWINOVER north-texas 7 
liberty AWAYWINOVER appalachian-st 7 
tennessee HOMEWINOVER chattanooga 7 
central-mich AWAYWINOVER northern-ill 7 
washington AWAYWINOVER california 7 
ga-southern HOMEWINOVER idaho 7 
michigan HOMEWINOVER penn-st 7 
utsa HOMEWINOVER fiu 7 
houston AWAYWINOVER memphis 7 
vanderbilt HOMEWINOVER charleston-so 7 
lsu AWAYWINOVER florida 7 
utep HOMEWINOVER old-dominion 7 
tulane HOMEWINOVER uconn 7 
utah-st HOMEWINOVER air-force 7 
colorado-st AWAYWINOVER nevada 7 
la-lafayette AWAYWINOVER texas-st 8 
utah AWAYWINOVER oregon-st 8 
pittsburgh HOMEWINOVER virginia-tech 8 
boise-st HOMEWINOVER fresno-st 8 
houston HOMEWINOVER temple 8 
florida-st HOMEWINOVER notre-dame 8 
ole-miss HOMEWINOVER tennessee 8 
west-virginia HOMEWINOVER baylor 8 
alabama HOMEWINOVER texas-am 8 
michigan-st AWAYWINOVER indiana 8 
oregon HOMEWINOVER washington 8 
georgia AWAYWINOVER arkansas 8 
kansas-st AWAYWINOVER oklahoma 8 
tcu HOMEWINOVER oklahoma-st 8 
ohio-st HOMEWINOVER rutgers 8 
arizona-st HOMEWINOVER stanford 8 
nebraska AWAYWINOVER northwestern 8 
southern-california HOMEWINOVER colorado 8 
clemson AWAYWINOVER boston-college 8 
marshall AWAYWINOVER fiu 8 
syracuse AWAYWINOVER wake-forest 8 
south-carolina HOMEWINOVER furman 8 
maryland HOMEWINOVER iowa 8 
minnesota HOMEWINOVER purdue 8 
fla-atlantic HOMEWINOVER western-ky 8 
louisiana-tech HOMEWINOVER utsa 8 
ucf HOMEWINOVER tulane 8 
south-fla AWAYWINOVER tulsa 8 
duke HOMEWINOVER virginia 8 
ohio HOMEWINOVER akron 8 
western-mich AWAYWINOVER bowling-green 8 
massachusetts HOMEWINOVER eastern-mich 8 
appalachian-st AWAYWINOVER troy 8 
louisville HOMEWINOVER north-carolina-st 8 
ucla AWAYWINOVER california 8 
kent-st HOMEWINOVER army 8 
texas-tech HOMEWINOVER kansas 8 
middle-tenn HOMEWINOVER uab 8 
air-force HOMEWINOVER new-mexico 8 
ball-st AWAYWINOVER central-mich 8 
cincinnati AWAYWINOVER smu 8 
san-jose-st AWAYWINOVER wyoming 8 
northern-ill HOMEWINOVER miami-oh 8 
idaho HOMEWINOVER new-mexico-st 8 
north-carolina HOMEWINOVER georgia-tech 8 
missouri AWAYWINOVER florida 8 
southern-miss AWAYWINOVER north-texas 8 
colorado-st HOMEWINOVER utah-st 8 
lsu HOMEWINOVER kentucky 8 
south-ala HOMEWINOVER georgia-st 8 
texas HOMEWINOVER iowa-st 8 
nevada AWAYWINOVER byu 8 
san-diego-st HOMEWINOVER hawaii 8 
la-lafayette HOMEWINOVER arkansas-st 9 
east-carolina HOMEWINOVER uconn 9 
miami-fl AWAYWINOVER virginia-tech 9 
oregon AWAYWINOVER california 9 
cincinnati HOMEWINOVER south-fla 9 
south-ala HOMEWINOVER troy 9 
boise-st HOMEWINOVER byu 9 
mississippi-st AWAYWINOVER kentucky 9 
lsu HOMEWINOVER ole-miss 9 
alabama AWAYWINOVER tennessee 9 
auburn HOMEWINOVER south-carolina 9 
michigan-st HOMEWINOVER michigan 9 
tcu HOMEWINOVER texas-tech 9 
kansas-st HOMEWINOVER texas 9 
ohio-st AWAYWINOVER penn-st 9 
arizona-st AWAYWINOVER washington 9 
arizona AWAYWINOVER washington-st 9 
nebraska HOMEWINOVER rutgers 9 
utah HOMEWINOVER southern-california 9 
clemson HOMEWINOVER syracuse 9 
west-virginia AWAYWINOVER oklahoma-st 9 
marshall HOMEWINOVER fla-atlantic 9 
ucla AWAYWINOVER colorado 9 
nevada AWAYWINOVER hawaii 9 
arkansas HOMEWINOVER uab 9 
wisconsin HOMEWINOVER maryland 9 
illinois HOMEWINOVER minnesota 9 
rice HOMEWINOVER north-texas 9 
memphis AWAYWINOVER smu 9 
north-carolina AWAYWINOVER virginia 9 
navy HOMEWINOVER san-jose-st 9 
northern-ill AWAYWINOVER eastern-mich 9 
western-mich HOMEWINOVER ohio 9 
ball-st HOMEWINOVER akron 9 
toledo HOMEWINOVER massachusetts 9 
ga-southern AWAYWINOVER georgia-st 9 
miami-oh HOMEWINOVER kent-st 9 
georgia-tech AWAYWINOVER pittsburgh 9 
stanford HOMEWINOVER oregon-st 9 
boston-college AWAYWINOVER wake-forest 9 
louisiana-tech AWAYWINOVER southern-miss 9 
central-mich AWAYWINOVER buffalo 9 
missouri HOMEWINOVER vanderbilt 9 
western-ky HOMEWINOVER old-dominion 9 
utah-st HOMEWINOVER unlv 9 
ucf HOMEWINOVER temple 9 
utep AWAYWINOVER utsa 9 
colorado-st HOMEWINOVER wyoming 9 
texas-st AWAYWINOVER la-monroe 9 
florida-st AWAYWINOVER louisville 10 
ga-southern HOMEWINOVER troy 10 
